pos_ini;tam;cod;from;to;read;nome_desc
429;1;VD4018;428;429;0;
430;8;VD4019;429;437;1;renda_1
438;8;VD4020;437;445;1;renda_2
446;1;VD4023;445;446;0;
447;1;VD4030;446;447;0;
448;3;VD4031;447;450;0;
451;3;VD4032;450;453;0;
454;3;VD4033;453;456;0;
457;3;VD4034;456;459;0;
460;3;VD4035;459;462;0;
463;1;VD4036;462;463;0;
464;1;VD4037;463;-1;0;
