p10;p20;p30;p40;p50;p60;p70;p80;p90;uf_12;uf_13;uf_14;uf_15;uf_16;uf_17;uf_21;uf_22;uf_23;uf_24;uf_25;uf_26;uf_27;uf_28;uf_29;uf_31;uf_32;uf_33;uf_35;uf_41;uf_42;uf_43;uf_50;uf_51;uf_52;uf_53;sal_min;log_sal_min
-0,8586616190375187;-0,6403296247205308;-0,5221893824163057;-0,388657989791783;-0,21680773286512345;0,0;0,17095779814363965;0,43880152837575626;0,9330978501905358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;622;-0,6403296247205308
-0,7793248768009979;-0,56099288248401;-0,5593864564357363;-0,30932124755526225;-0,19153821189887843;0,0;0,17618656822643874;0,501608968661067;0,9070740767692307;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;622;-0,56099288248401
-0,9162907318741551;-0,8362480242006187;-0,6286086594223743;-0,442544116349584;-0,2231435513142097;0,0;0,38299225225610556;0,8472978603872034;1,2992829841302607;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;622;-0,8802802943511221
-1,0116009116784799;-0,5701253660472823;-0,4519851237430572;-0,3184537311185345;-0,14660347419187492;0,0;0,19885085874516406;0,49247648509779474;0,9343092373768336;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,48391817084606625
-1,203972804325936;-0,6931471805599454;-0,4004775665971252;-0,35667494393873245;-0,2231435513142097;0,0;0,23996133624036098;0,6289286082332959;1,0986122886681091;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,3886079910417415
-1,09861228866811;-0,5877866649021195;-0,3694546705851316;-0,2832474753839156;-0,11778303565638382;0,0;0,2876820724517808;0,5108256237659905;1,021651247531981;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,2832474753839156
-0,9162907318741551;-0,4748151862429575;-0,3886079910417415;-0,35667494393873245;-0,2231435513142097;0,0;0,4054651081081646;0,6931471805599454;1,1975522365230145;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,3886079910417415
-1,1802537177053418;-0,7102500884596061;-0,4101454960092674;-0,208263413360819;-0,15063430052418347;0,0;0,2228977604809721;0,5425128800357619;0,9944980037788191;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,1825673476271925
-0,9162907318741551;-0,5108256237659905;-0,3886079910417415;-0,35667494393873245;-0,2231435513142097;0,0;0,25044738584155457;0,6931471805599454;1,0986122886681091;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,3886079910417415
-1,0414538748281617;-0,7537718023763809;-0,31229625674518324;-0,22608906154396724;-0,1941560144409582;0,0;0,2184265614360701;0,5679840376059389;1,0788096613719294;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,22608906154396724
-1,7316555451583495;-1,220829921392359;-0,8153648132841944;-0,3453611840384587;-0,086207195201216;0,0;0,16546443972753178;0,3886079910417415;0,7940730991499061;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;0,0
-1,9151563473719788;-1,2220091668120343;-0,8165440587038697;-0,3057184349378792;-0,00117924541967529;0,0;0,22490981612429195;0,5697503024160211;1,0805759261820116;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,00117924541967529
-1,5085119938441398;-0,8153648132841944;-0,4098997051760298;-0,086207195201216;0,0;0,0;0,16546443972753178;0,47844869504153653;0,976394655943861;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;0,0
-1,163150809805681;-0,6931471805599454;-0,2516716349287478;-0,16546443972753178;-0,16546443972753178;0,0;0,2231435513142097;0,4414755456311976;0,9162907318741551;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,16546443972753178
-1,4830239875784423;-0,854415328156068;-0,3435897043900775;-0,1252577100730896;-0,03905051487187361;0,0;0,24419696051204198;0,5318790329638228;1,0427046567298133;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,03905051487187361
-1,163150809805681;-0,5753641449035616;-0,2516716349287478;-0,16546443972753178;-0,13353139262452274;0,0;0,2231435513142097;0,5276827408324136;0,9695945038964675;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;678;-0,16546443972753178
